
/etc/apache2/mods-enabled/deflate.conf [Status: 200, Size: 559, Words: 41, Lines: 15, Duration: 2ms
/etc/apache2/mods-enabled/mime.conf [Status: 200, Size: 7676, Words: 942, Lines: 250, Duration: 3ms
/etc/apache2/ports.conf [Status: 200, Size: 357, Words: 36, Lines: 16, Duration: 3ms
/etc/apache2/mods-enabled/status.conf [Status: 200, Size: 786, Words: 82, Lines: 30, Duration: 4ms
/etc/apache2/mods-enabled/negotiation.conf [Status: 200, Size: 761, Words: 109, Lines: 21, Duration: 6ms
/etc/bash.bashrc        [Status: 200, Size: 1900, Words: 315, Lines: 56, Duration: 3ms
/etc/ca-certificates.conf [Status: 200, Size: 6827, Words: 64, Lines: 163, Duration: 1ms
/etc/crontab            [Status: 200, Size: 759, Words: 103, Lines: 16, Duration: 2ms
/etc/debconf.conf       [Status: 200, Size: 3006, Words: 411, Lines: 84, Duration: 2ms
/etc/debian_version     [Status: 200, Size: 41, Words: 1, Lines: 2, Duration: 2ms
/etc/default/grub       [Status: 200, Size: 1265, Words: 141, Lines: 35, Duration: 2ms
/etc/dhcp/dhclient.conf [Status: 200, Size: 1772, Words: 168, Lines: 55, Duration: 1ms
/etc/deluser.conf       [Status: 200, Size: 641, Words: 86, Lines: 21, Duration: 2ms
/etc/fstab              [Status: 200, Size: 701, Words: 162, Lines: 13, Duration: 1ms
/etc/group              [Status: 200, Size: 826, Words: 1, Lines: 57, Duration: 0ms
/etc/host.conf          [Status: 200, Size: 46, Words: 2, Lines: 2, Duration: 0ms
/etc/hosts.allow        [Status: 200, Size: 448, Words: 82, Lines: 11, Duration: 0ms
/etc/hosts              [Status: 200, Size: 225, Words: 19, Lines: 8, Duration: 0ms
/etc/hdparm.conf        [Status: 200, Size: 4818, Words: 734, Lines: 137, Duration: 2ms
/etc/hostname           [Status: 200, Size: 46, Words: 1, Lines: 2, Duration: 3ms
/etc/hosts.deny         [Status: 200, Size: 748, Words: 128, Lines: 18, Duration: 4ms
/etc/issue              [Status: 200, Size: 58, Words: 3, Lines: 3, Duration: 3ms
/etc/ld.so.conf         [Status: 200, Size: 71, Words: 2, Lines: 3, Duration: 0ms
/etc/issue.net          [Status: 200, Size: 56, Words: 3, Lines: 2, Duration: 3ms
/etc/kernel-img.conf    [Status: 200, Size: 181, Words: 17, Lines: 7, Duration: 3ms
/etc/logrotate.conf     [Status: 200, Size: 636, Words: 103, Lines: 33, Duration: 1ms
/etc/ldap/ldap.conf     [Status: 200, Size: 369, Words: 23, Lines: 18, Duration: 4ms
/etc/login.defs         [Status: 200, Size: 10514, Words: 1619, Lines: 341, Duration: 3ms
/etc/manpath.config     [Status: 200, Size: 5211, Words: 530, Lines: 132, Duration: 1ms
/etc/modules            [Status: 200, Size: 232, Words: 33, Lines: 6, Duration: 1ms
/etc/motd               [Status: 200, Size: 323, Words: 36, Lines: 8, Duration: 3ms
/etc/mtab               [Status: 200, Size: 2047, Words: 136, Lines: 28, Duration: 8ms
/etc/networks           [Status: 200, Size: 97, Words: 1, Lines: 5, Duration: 6ms
/etc/mysql/my.cnf       [Status: 200, Size: 906, Words: 115, Lines: 24, Duration: 6ms
/etc/network/interfaces [Status: 200, Size: 352, Words: 38, Lines: 13, Duration: 6ms
/etc/pam.conf           [Status: 200, Size: 589, Words: 65, Lines: 16, Duration: 0ms
/etc/os-release         [Status: 200, Size: 273, Words: 6, Lines: 9, Duration: 2ms
/etc/passwd             [Status: 200, Size: 1571, Words: 14, Lines: 30, Duration: 2ms
/etc/adduser.conf       [Status: 200, Size: 3018, Words: 398, Lines: 86, Duration: 73ms
/etc/profile            [Status: 200, Size: 804, Words: 157, Lines: 35, Duration: 3ms
/etc/samba/dhcp.conf    [Status: 200, Size: 37, Words: 1, Lines: 1, Duration: 0ms
/etc/resolv.conf        [Status: 200, Size: 109, Words: 5, Lines: 5, Duration: 4ms
/etc/security/access.conf [Status: 200, Size: 4657, Words: 691, Lines: 123, Duration: 2ms
/etc/samba/smb.conf     [Status: 200, Size: 9482, Words: 1565, Lines: 266, Duration: 4ms
/etc/security/group.conf [Status: 200, Size: 3672, Words: 690, Lines: 107, Duration: 2ms
/etc/security/sepermit.conf [Status: 200, Size: 456, Words: 106, Lines: 12, Duration: 5ms
/etc/security/time.conf [Status: 200, Size: 2216, Words: 342, Lines: 66, Duration: 7ms
/etc/security/pam_env.conf [Status: 200, Size: 3009, Words: 429, Lines: 74, Duration: 8ms
/etc/security/namespace.conf [Status: 200, Size: 1477, Words: 219, Lines: 29, Duration: 9ms
/etc/security/limits.conf [Status: 200, Size: 2187, Words: 746, Lines: 57, Duration: 11ms
/etc/aliases            [Status: 200, Size: 235, Words: 15, Lines: 15, Duration: 100ms
/etc/ssh/ssh_config     [Status: 200, Size: 1760, Words: 264, Lines: 56, Duration: 1ms
/etc/ssh/sshd_config    [Status: 200, Size: 3320, Words: 295, Lines: 124, Duration: 3ms
/etc/sysctl.conf        [Status: 200, Size: 2720, Words: 277, Lines: 78, Duration: 2ms
/etc/timezone           [Status: 200, Size: 48, Words: 1, Lines: 2, Duration: 1ms
/proc/cpuinfo           [Status: 200, Size: 953, Words: 112, Lines: 27, Duration: 5ms
/proc/filesystems       [Status: 200, Size: 330, Words: 1, Lines: 25, Duration: 5ms
/proc/ioports           [Status: 200, Size: 1136, Words: 211, Lines: 44, Duration: 5ms
/proc/interrupts        [Status: 200, Size: 1353, Words: 512, Lines: 32, Duration: 6ms
/proc/meminfo           [Status: 200, Size: 1288, Words: 432, Lines: 46, Duration: 6ms
/proc/devices           [Status: 200, Size: 425, Words: 72, Lines: 44, Duration: 8ms
/proc/modules           [Status: 200, Size: 3013, Words: 296, Lines: 60, Duration: 7ms
/proc/net/tcp           [Status: 200, Size: 937, Words: 326, Lines: 7, Duration: 5ms
/proc/net/udp           [Status: 200, Size: 1061, Words: 274, Lines: 9, Duration: 4ms
/proc/self/cmdline      [Status: 200, Size: 64, Words: 1, Lines: 1, Duration: 4ms
/proc/self/stat         [Status: 200, Size: 358, Words: 52, Lines: 2, Duration: 3ms
/proc/stat              [Status: 200, Size: 797, Words: 295, Lines: 10, Duration: 1ms
/proc/self/status       [Status: 200, Size: 1095, Words: 104, Lines: 54, Duration: 2ms
